,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal,line
173,40240,79th,02/01/2001,7489.3,4700.0,3330.3,181907,red
174,41430,87th,02/01/2001,5454.7,3301.5,2206.3,131125,red
175,40450,95th/Dan Ryan,02/01/2001,14445.6,7166.5,5282.8,338708,red
176,41050,Linden,02/01/2001,1095.9,411.8,252.3,24573,purple
177,41250,Central-Evanston,02/01/2001,955.2,501.3,269.3,22185,purple
178,40400,Noyes,02/01/2001,593.2,431.0,215.3,14449,purple
179,40520,Foster,02/01/2001,708.9,387.5,240.3,16688,purple
180,40050,Davis,02/01/2001,3528.9,2515.3,1442.8,86409,purple
181,40690,Dempster,02/01/2001,673.7,415.8,278.3,16249,purple
182,40270,Main,02/01/2001,1213.8,655.3,377.8,28407,purple
183,40840,South Boulevard,02/01/2001,841.8,383.3,233.0,19300,purple
184,40140,Skokie,02/01/2001,2545.5,0.0,0.0,50909,yellow
185,40890,O'Hare Airport,02/01/2001,7844.5,5748.3,6120.8,204366,blue
186,40820,Rosemont,02/01/2001,5236.2,1996.3,1327.8,118020,blue
187,40230,Cumberland,02/01/2001,4760.3,1561.5,1084.8,105790,blue
188,40750,Harlem-O'Hare,02/01/2001,2706.4,1011.5,650.3,60775,blue
189,41280,Jefferson Park,02/01/2001,6661.4,2645.8,1872.0,151298,blue
190,41330,Montrose-O'Hare,02/01/2001,1958.6,690.0,489.3,43889,blue
191,40550,Irving Park-O'Hare,02/01/2001,3661.0,1587.3,1130.5,84091,blue
192,41240,Addison-O'Hare,02/01/2001,2487.2,800.8,543.5,55121,blue
193,40060,Belmont-O'Hare,02/01/2001,4606.1,2231.3,1586.5,107392,blue
194,41020,Logan Square,02/01/2001,4636.0,2252.0,1496.0,107712,blue
195,40570,California/Milwaukee,02/01/2001,2912.7,1374.0,865.3,67211,blue
196,40670,Western/Milwaukee,02/01/2001,2844.2,1254.3,773.5,64994,blue
197,40590,Damen/Milwaukee,02/01/2001,4170.4,1789.5,1266.0,95630,blue
198,40320,Division/Milwaukee,02/01/2001,4484.4,1940.3,1324.0,102745,blue
199,41410,Chicago/Milwaukee,02/01/2001,2204.9,703.5,423.5,48606,blue
200,40490,Grand/Milwaukee,02/01/2001,1152.5,479.5,292.5,26138,blue
201,40370,Washington/Dearborn,02/01/2001,8890.6,2275.5,1379.0,192430,blue
202,40790,Monroe/Dearborn,02/01/2001,5945.8,1102.3,652.3,125934,blue
203,40070,Jackson/Dearborn,02/01/2001,7392.2,1903.5,1041.3,159623,blue
204,41340,LaSalle,02/01/2001,2208.6,354.3,191.5,46354,blue
205,40430,Clinton-Forest Park,02/01/2001,2278.2,744.5,648.5,51136,blue
206,40350,UIC-Halsted,02/01/2001,4405.3,963.0,598.8,94352,blue
207,40470,Racine,02/01/2001,2242.7,768.5,425.0,49627,blue
208,40810,Medical Center,02/01/2001,1969.9,987.5,613.0,45799,blue
209,40220,Western-Forest Park,02/01/2001,991.9,635.3,422.3,24067,blue
210,40250,Kedzie-Homan-Forest Park,02/01/2001,1297.6,853.8,564.0,31622,blue
211,40920,Pulaski-Forest Park,02/01/2001,1215.2,797.0,611.3,29937,blue
212,40970,Cicero-Forest Park,02/01/2001,1044.3,692.0,493.5,25627,blue
213,40010,Austin-Forest Park,02/01/2001,1527.8,639.5,400.3,34714,blue
214,40180,Oak Park-Forest Park,02/01/2001,1394.1,392.3,233.3,30384,blue
215,40980,Harlem-Forest Park,02/01/2001,802.3,390.3,276.3,18711,blue
216,40390,Forest Park,02/01/2001,3568.1,1183.5,771.3,79180,blue
217,41030,Polk,02/01/2001,2298.3,4.0,0.5,45983,pink
218,40830,18th,02/01/2001,997.6,0.8,0.0,19955,pink
219,40210,Damen-Cermak,02/01/2001,671.0,0.3,0.0,13421,pink
220,40740,Western-Cermak,02/01/2001,548.7,3.0,0.0,10986,pink
221,40440,California-Cermak,02/01/2001,797.7,0.5,0.0,15955,pink
222,41040,Kedzie-Cermak,02/01/2001,441.3,1.8,0.0,8833,pink
223,40780,Central Park,02/01/2001,455.9,2.0,0.0,9126,pink
224,40150,Pulaski-Cermak,02/01/2001,473.9,1.5,0.0,9484,pink
225,40600,Kostner,02/01/2001,314.3,0.3,0.0,6286,pink
226,40420,Cicero-Cermak,02/01/2001,883.0,3.5,0.0,17673,pink
227,40580,54th/Cermak,02/01/2001,1587.4,7.0,0.0,31776,pink
228,40020,Harlem-Lake,02/01/2001,3288.3,1563.5,926.3,75724,green
229,41350,Oak Park-Lake,02/01/2001,1382.0,499.0,331.8,30962,green
230,40610,Ridgeland,02/01/2001,1282.2,368.3,206.3,27942,green
231,41260,Austin-Lake,02/01/2001,1902.5,877.5,533.8,43695,green
232,40280,Central-Lake,02/01/2001,2372.6,1238.5,848.3,55799,green
233,40700,Laramie,02/01/2001,1335.8,631.8,403.5,30856,green
234,40480,Cicero-Lake,02/01/2001,1322.9,679.0,452.8,30985,green
235,40030,Pulaski-Lake,02/01/2001,1530.6,876.5,618.3,36591,green
236,41070,Kedzie-Lake,02/01/2001,1225.5,610.8,433.0,28685,green
237,41360,California-Lake,02/01/2001,792.9,375.5,284.3,18497,green
238,40170,Ashland-Lake,02/01/2001,1458.0,547.0,360.8,32791,green
239,41160,Clinton-Lake,02/01/2001,1810.2,405.3,244.8,38803,green
240,41120,35-Bronzeville-IIT,02/01/2001,1928.2,1015.0,689.5,45382,green
241,40300,Indiana,02/01/2001,595.8,343.8,237.0,14239,green
242,41270,43rd,02/01/2001,797.5,449.3,296.5,18933,green
243,41080,47th-South Elevated,02/01/2001,1293.5,818.3,519.0,31218,green
244,40130,51st,02/01/2001,1144.3,728.8,483.3,27733,green
245,40510,Garfield-South Elevated,02/01/2001,743.4,487.3,321.3,18102,green
246,41140,King Drive,02/01/2001,735.2,435.0,240.8,17406,green
247,40720,East 63rd-Cottage Grove,02/01/2001,1405.1,722.8,495.8,32976,green
248,40940,Halsted/63rd,02/01/2001,741.9,494.3,319.5,18093,green
249,40290,Ashland/63rd,02/01/2001,1770.4,943.0,686.8,41927,green
250,41290,Kimball,02/01/2001,4139.9,2143.0,1197.0,96157,brown
251,41180,Kedzie-Brown,02/01/2001,1486.9,886.8,584.5,35622,brown
252,40870,Francisco,02/01/2001,1078.8,426.5,231.3,24207,brown
253,41010,Rockwell,02/01/2001,1279.8,496.8,309.3,28820,brown
254,41480,Western-Brown,02/01/2001,3399.6,1604.8,920.8,78094,brown
255,40090,Damen-Brown,02/01/2001,2095.4,962.0,556.3,47980,brown
256,41500,Montrose-Brown,02/01/2001,2025.3,887.3,487.5,46004,brown
257,41460,Irving Park-Brown,02/01/2001,2299.5,838.3,474.3,51239,brown
258,41440,Addison-Brown,02/01/2001,1800.5,575.8,299.8,39512,brown
259,41310,Paulina,02/01/2001,2021.0,876.5,569.5,46204,brown
260,40360,Southport,02/01/2001,2608.6,945.8,548.8,58149,brown
261,41210,Wellington,02/01/2001,2430.6,728.3,366.8,52992,brown
262,40530,Diversey,02/01/2001,4270.7,1723.8,924.8,96008,brown
263,40660,Armitage,02/01/2001,3394.6,942.5,477.5,73572,brown
264,40800,Sedgwick,02/01/2001,2134.7,868.5,503.0,48179,brown
265,40710,Chicago/Franklin,02/01/2001,4084.8,1404.5,668.8,89988,brown
266,40460,Merchandise Mart,02/01/2001,6025.0,956.0,289.0,125479,brown
267,40930,Midway Airport,02/01/2001,7702.5,2466.5,2075.3,172216,orange
268,40960,Pulaski-Orange,02/01/2001,5335.4,1237.0,670.8,114338,orange
269,41150,Kedzie-Midway,02/01/2001,2991.3,1087.0,611.3,66619,orange
270,40310,Western-Orange,02/01/2001,3314.5,1007.3,561.5,72565,orange
271,40120,35th/Archer,02/01/2001,2106.7,671.5,353.0,46232,orange
272,41060,Ashland-Orange,02/01/2001,1316.3,531.8,311.0,29697,orange
273,41130,Halsted-Orange,02/01/2001,2500.2,694.8,443.3,54555,orange
274,40730,Washington/Wells,02/01/2001,7188.8,711.5,370.3,148103,brown
275,40040,Quincy/Wells,02/01/2001,7766.4,911.8,523.8,161069,brown
276,40160,LaSalle/Van Buren,02/01/2001,3603.0,272.0,128.3,73661,brown
277,40850,Library,02/01/2001,2534.2,755.0,334.3,55040,brown
278,40680,Adams/Wabash,02/01/2001,7185.7,2301.8,1141.8,157488,green
281,40260,State/Lake,02/01/2001,8397.4,3733.0,2513.5,192934,green
282,40380,Clark/Lake,02/01/2001,15290.2,2425.0,1677.3,322212,blue
283,40900,Howard,03/01/2001,6435.6,3975.4,2594.0,171836,red
284,41190,Jarvis,03/01/2001,1509.0,1110.0,762.5,41797,red
285,40100,Morse,03/01/2001,4521.9,3159.4,2229.0,124194,red
286,41300,Loyola,03/01/2001,4899.3,3447.6,2158.8,133657,red
287,40760,Granville,03/01/2001,3339.8,2398.6,1673.3,92161,red
288,40880,Thorndale,03/01/2001,3089.5,1887.0,1363.8,82860,red
289,41380,Bryn Mawr,03/01/2001,4580.6,2913.4,2061.5,123586,red
290,40340,Berwyn,03/01/2001,3402.8,2226.8,1579.3,92312,red
291,41200,Argyle,03/01/2001,2823.9,1905.2,1360.3,77093,red
292,40770,Lawrence,03/01/2001,2811.4,1976.6,1523.5,77828,red
293,40540,Wilson,03/01/2001,5427.0,3445.0,2106.8,145046,red
294,40080,Sheridan,03/01/2001,4511.0,2971.2,1802.3,121307,red
295,41420,Addison-North Main,03/01/2001,5102.2,3785.6,2336.0,140520,red
296,41320,Belmont-North Main,03/01/2001,9581.4,7888.8,4878.0,269746,red
297,41220,Fullerton,03/01/2001,9921.6,6034.6,3614.0,262905,red
298,40650,North/Clybourn,03/01/2001,3661.2,2882.6,1992.3,102929,red
299,40630,Clark/Division,03/01/2001,6902.9,5401.0,3623.8,193363,red
300,41450,Chicago/State,03/01/2001,12810.8,9963.8,6284.0,356793,red
301,40330,Grand/State,03/01/2001,8937.6,6631.6,4204.3,246602,red
302,41660,Lake/State,03/01/2001,13990.4,6586.8,4062.0,356970,red
304,41090,Monroe/State,03/01/2001,7587.1,3152.2,1492.8,188649,red
305,40560,Jackson/State,03/01/2001,11979.2,4664.8,2398.0,296458,red
306,41490,Harrison,03/01/2001,2874.8,1642.6,846.5,74845,red
307,41400,Roosevelt,03/01/2001,6143.0,3698.6,2757.8,164671,red
308,41000,Cermak-Chinatown,03/01/2001,2633.5,2649.0,1795.0,78362,red
309,40190,Sox-35th-Dan Ryan,03/01/2001,3588.5,2328.2,1610.8,97030,red
310,41230,47th-Dan Ryan,03/01/2001,2388.6,1691.6,1221.5,65894,red
311,41170,Garfield-Dan Ryan,03/01/2001,4753.2,3204.8,2019.5,128672,red
312,40910,63rd-Dan Ryan,03/01/2001,3701.5,2511.6,1933.5,101724,red
313,40990,69th,03/01/2001,6870.0,4546.4,3027.8,185984,red
314,40240,79th,03/01/2001,7446.4,4871.6,3328.8,201493,red
315,41430,87th,03/01/2001,5526.5,3465.6,2174.8,147611,red
316,40450,95th/Dan Ryan,03/01/2001,14521.9,7686.8,5239.8,378875,red
317,41050,Linden,03/01/2001,1094.5,491.0,265.8,27596,purple
318,41250,Central-Evanston,03/01/2001,936.2,436.0,266.5,23843,purple
319,40400,Noyes,03/01/2001,567.4,422.6,193.0,15367,purple
320,40520,Foster,03/01/2001,661.3,377.6,215.0,17296,purple
321,40050,Davis,03/01/2001,3488.7,2501.8,1408.8,94895,purple
322,40690,Dempster,03/01/2001,667.3,442.6,306.3,18118,purple
323,40270,Main,03/01/2001,1200.6,740.6,404.0,31733,purple
324,40840,South Boulevard,03/01/2001,831.8,434.6,230.3,21394,purple
325,40140,Skokie,03/01/2001,2502.9,0.0,0.0,55064,yellow
326,40890,O'Hare Airport,03/01/2001,8213.3,6472.8,6829.0,240372,blue
327,40820,Rosemont,03/01/2001,5225.5,2027.0,1318.3,130368,blue
328,40230,Cumberland,03/01/2001,4773.5,1990.8,1131.5,119498,blue
329,40750,Harlem-O'Hare,03/01/2001,2712.9,1227.8,660.5,68465,blue
330,41280,Jefferson Park,03/01/2001,6709.9,2904.6,1933.8,169875,blue
331,41330,Montrose-O'Hare,03/01/2001,1995.1,811.0,533.5,50082,blue
332,40550,Irving Park-O'Hare,03/01/2001,3704.4,1694.2,1117.0,94436,blue
333,41240,Addison-O'Hare,03/01/2001,2540.5,894.0,565.5,62624,blue
334,40060,Belmont-O'Hare,03/01/2001,4562.8,2232.2,1552.5,117753,blue
335,41020,Logan Square,03/01/2001,4664.9,2273.8,1382.3,119525,blue
336,40570,California/Milwaukee,03/01/2001,2957.7,1370.8,860.8,75366,blue
337,40670,Western/Milwaukee,03/01/2001,2913.0,1100.2,742.3,72555,blue
338,40590,Damen/Milwaukee,03/01/2001,4253.1,1928.6,1264.3,108269,blue
339,40320,Division/Milwaukee,03/01/2001,4495.3,2135.2,1350.0,114972,blue
340,41410,Chicago/Milwaukee,03/01/2001,2229.0,773.0,458.5,54738,blue
341,40490,Grand/Milwaukee,03/01/2001,1229.2,573.8,326.3,31217,blue
